"","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049"
"1976",6.1214027132048e-05,1.60182351213812e-05,3.15604221992132e-06,4.47177471908271e-07,4.32811531768531e-08,2.70235791008509e-09,1.02153447808929e-10,2.17962821722286e-12,2.42997720553098e-14,1.30047097531451e-16,3.04492071019943e-19,2.81852978978178e-22,9.23658480992903e-26,9.5052460438473e-30,2.69722442498354e-34,1.83353843526003e-39,2.56527105840132e-45,6.27162560887077e-52,2.2469240220894e-59,9.76508989461515e-68,4.20389599612276e-77,1.44323555929657e-87,3.13389304240105e-99,3.36113681616949e-112,1.36798820326605e-126,1.5960834069856e-142,3.96209191162657e-160,1.52485738590174e-179,6.5044447762776e-201,2.15517124439225e-224,3.80801333735669e-250,2.4111021824408e-278,3.59536953059616e-309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1977",0.000599252118200406,0.000199927871709469,5.23163040629782e-05,1.03077812981161e-05,1.46050250937069e-06,1.41358267789075e-07,8.82602715216076e-09,3.33637931779381e-10,7.11876756037065e-12,7.93641904912324e-14,4.24739894589367e-16,9.94485325726176e-19,9.2054499372382e-22,3.01671173982659e-25,3.10445775364831e-29,8.80926095005172e-34,5.98842216781929e-39,8.37829509170727e-45,2.04834221645856e-51,7.33855880221983e-59,3.18932396895015e-67,1.37301206728279e-76,4.7136747452207e-87,1.02354410498232e-98,1.09776298287243e-111,4.46791336588041e-126,5.21288295476915e-142,1.29403772390281e-159,4.98025544318733e-179,2.12438204395171e-200,7.03888994480496e-224,1.24371494189836e-249,7.87477234212344e-278,1.17426448142445e-308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1978",0.00291886489975505,0.00119754929982905,0.000399537148906528,0.000104549239622898,2.05991366595751e-05,2.91867763896752e-06,2.8249127449766e-07,1.76379896129255e-08,6.66744195746326e-10,1.4226191028192e-11,1.58601910394066e-13,8.48802946082966e-16,1.98738589208519e-18,1.83962305549403e-21,6.02861620692219e-25,6.20396840714562e-29,1.76044839264428e-33,1.19673015018938e-38,1.67432389742172e-44,4.09342030278798e-51,1.46654232641588e-58,6.37356559942433e-67,2.7438361749461e-76,9.41983802696073e-87,2.04545714405938e-98,2.19377662855e-111,8.9287069006531e-126,1.04174589341825e-141,2.58601333753474e-159,9.95257461395284e-179,4.24537878471543e-200,1.40665630858161e-223,2.48544796525728e-249,1.57369958623481e-277,2.34665771690054e-308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1979",0.0097609526719424,0.00477037545573032,0.00195718540704333,0.000652973766944857,0.000170867492583914,3.36656951605805e-05,4.77006941064249e-06,4.61682704956542e-07,2.88262169122617e-08,1.08967706826919e-09,2.32502273452647e-11,2.59207152972132e-13,1.38722033386526e-15,3.24803552280323e-18,3.0065429449855e-21,9.8527214424803e-25,1.01393040219359e-28,2.87714577130821e-33,1.9558466498655e-38,2.73639030907994e-44,6.68998134995789e-51,2.39680758068354e-58,1.04164810449201e-66,4.48432154040645e-76,1.539508187739e-86,3.34294285308921e-98,3.58534517478626e-111,1.45924137337977e-125,1.70255192060699e-141,4.22638764630807e-159,1.62657468880145e-178,6.93833097810874e-200,2.2989343322019e-223,4.06203108987785e-249,2.57193742728466e-277,3.83520264217845e-308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980",0.0252423898302265,0.0142879675800801,0.00698281941804779,0.00286490495179055,0.000955815310893659,0.000250113823576477,4.92794481421776e-05,6.98237143285208e-06,6.75805706922878e-07,4.21954768700659e-08,1.59505646092727e-09,3.40334090025383e-11,3.7942437819993e-13,2.03059678935524e-15,4.75443615070067e-18,4.40094215901194e-21,1.44222976257609e-24,1.48417938308851e-28,4.21153209991294e-33,2.86294529479832e-38,4.00549591178372e-44,9.79271592150009e-51,3.50841871274865e-58,1.52475222932026e-66,6.56409706525421e-76,2.25351395657423e-86,4.89336038318219e-98,5.24818604724868e-111,2.13602033890538e-125,2.49217545280803e-141,6.18653646840029e-159,2.38096087556884e-178,1.01562471827205e-199,3.36515300413781e-223,5.94595327649539e-249,3.76477171994374e-277,5.61392446579488e-308,0,0,0,0,0,0,0,0,0,0,0,0,0
"1981",0.053885614529969,0.0344616481254122,0.0195063508044872,0.00953314909271802,0.0039112519466415,0.00130490698933173,0.000341462699742983,6.72777424448398e-05,9.53253749023967e-06,9.22629696703034e-07,5.76064978855107e-08,2.1776176846306e-09,4.64634043544198e-11,5.18001247095548e-13,2.77223006656673e-15,6.49089514749466e-18,6.0082948216952e-21,1.96897421076901e-24,2.02624505837166e-28,5.74970667485233e-33,3.90857656565868e-38,5.46842005087714e-44,1.33693018984577e-50,4.78979573521113e-58,2.08163629349991e-66,8.96149710250361e-76,3.07656309642175e-86,6.68055856875036e-98,7.1649769325886e-111,2.91615737666548e-125,3.40239074426376e-141,8.44604034415738e-159,3.25055735396233e-178,1.38656053978897e-199,4.59420520389493e-223,8.11758914123732e-249,5.13977635072597e-277,7.66429370769011e-308,0,0,0,0,0,0,0,0,0,0,0,0
"1982",0.0991615644872367,0.0701112199913743,0.0448384641070084,0.0253799472161854,0.0124036947352321,0.00508897686450548,0.00169783014994543,0.00044428121808306,8.75358784012719e-05,1.24028989719049e-05,1.20044457505714e-06,7.49525059965202e-08,2.83332451297054e-09,6.04540932242529e-11,6.73977641485814e-13,3.60698182175624e-15,8.44538160317058e-18,7.81746452539063e-21,2.5618559842496e-24,2.63637177163343e-28,7.48101238304049e-33,5.08549589418932e-38,7.11502697958578e-44,1.73949592059038e-50,6.23206073521468e-58,2.70844197266103e-66,1.16599114677677e-75,4.00295318058597e-86,8.69215495758004e-98,9.32243750647878e-111,3.79424737285222e-125,4.42689144493327e-141,1.09892444911416e-158,4.22933919796875e-178,1.80407056474111e-199,5.9775755467473e-223,1.0561892687785e-248,6.68742471577077e-277,9.9721045571358e-308,0,0,0,0,0,0,0,0,0,0,0
"1983",0.162386804891015,0.124556745931982,0.0880666361064816,0.056321551708432,0.0318797273270169,0.0155802690462091,0.00639225895278738,0.00213264282099573,0.000558061211410654,0.00010995373280303,1.55792694886579e-05,1.50787727799578e-06,9.41477708086739e-08,3.55893620002689e-09,7.59363284476094e-11,8.46582668279603e-13,4.53072640268392e-15,1.06082357220185e-17,9.81950968357997e-21,3.21794484177966e-24,3.3115440507583e-28,9.39689247065397e-33,6.38788650931586e-38,8.937178556814e-44,2.18497915549307e-50,7.82808550513265e-58,3.40207136106326e-66,1.4646003598169e-75,5.02810564627628e-86,1.09182074955268e-97,1.17099047999662e-110,4.76595048159282e-125,5.56061409303388e-141,1.38035794528406e-158,5.31246890532238e-178,2.26609130400265e-199,7.50842690426957e-223,1.32667832630113e-248,8.40006776384339e-277,1.25259509584502e-307,0,0,0,0,0,0,0,0,0,0
"1984",0.242518369207643,0.198561933126675,0.152304420749095,0.107685359786483,0.0688683799858359,0.038981617317073,0.0190511066618082,0.00781627112845536,0.00260773454770442,0.000682381262535971,0.000134448274627463,1.9049884431469e-05,1.84378913937974e-06,1.15121197094086e-07,4.3517652325638e-09,9.28527670780822e-11,1.03517703472246e-12,5.54004245350332e-15,1.2971446746804e-17,1.20070151416325e-20,3.93481076807697e-24,4.04926119947993e-28,1.149025092038e-32,7.81092462983575e-38,1.09281259159588e-43,2.67172991824903e-50,9.57195870454645e-58,4.1599554011854e-66,1.79087136358428e-75,6.14822354414713e-86,1.33504713516899e-97,1.43185361358093e-110,5.82766771873e-125,6.79935961807528e-141,1.68786215238559e-158,6.49593479115572e-178,2.77091152982719e-199,9.18108932466957e-223,1.62222425205306e-248,1.02713622249248e-276,1.53163740011329e-307,0,0,0,0,0,0,0,0,0
"1985",0.336768870299004,0.290320452939699,0.237699892796829,0.182324697964373,0.128910904894873,0.0824428241705374,0.0466651694582563,0.0228062143627691,0.00935691338238282,0.00312173744821714,0.000816883429755322,0.000160948979305507,2.28047512221961e-05,2.20721300336516e-06,1.37812398262911e-07,5.20952890097753e-09,1.1115470338551e-10,1.23921774080579e-12,6.63202395621072e-15,1.55282105315123e-17,1.43736826441711e-20,4.71038976615429e-24,4.84739918607004e-28,1.37550605444628e-32,9.35051305111737e-38,1.30821367307926e-43,3.19834675836242e-50,1.14586593819815e-57,4.97991199688073e-66,2.14386476014675e-75,7.36008183604041e-86,1.5981943563469e-97,1.71408207549938e-110,6.97634219301206e-125,8.13956142979583e-141,2.02055170575886e-158,7.77632942608309e-178,3.31707776620622e-199,1.09907468862111e-222,1.94197611160156e-248,1.2295920276846e-276,1.83353395123465e-307,0,0,0,0,0,0,0,0
