URL,video_shared_date,authour_username,author_nickname,video_description,video_hashtags,posted_location,video_music_title,like_count,comment_count,save_count,share_count
https://www.tiktok.com/@scuccioso/video/7224450964114246958,4/21/23,scuccioso,James Bivins,Kia boys strike again#foryoupage#fyp,"['#foryoupage', '#fyp']",,original sound - GhettoBoy Ant 🏚️,22K,1058,1929,1399
https://www.tiktok.com/@saltwrld999/video/7225648168053017862,4/24/23,saltwrld999,Jimbo slice 🍕,Kia boy tried to steal a kia with the top of engine on passenger side seat . Also they broke the window when all the doors were unlocked 😂😂#dumbcriminals#failarmy#kia#fyp#comedy#funny,"['#dumbcriminals', '#failarmy', '#kia', '#fyp', '#comedy', '#funny']",,original sound - Jimbo slice 🍕,11.5K,123,699,232
https://www.tiktok.com/@theedpodcast/video/7226503144673512746,4/26/23,theedpodcast,everyonesdifferentpodcast,Stealing 300 Cars In A Day 🤯,[],,Superhero (Heroes & Villains) - Instrumental - Metro Boomin,61.6K,258,4769,497
https://www.tiktok.com/@liltp42/video/7226832967736298794,4/27/23,liltp42,Liltp414,,[],,original sound - Liltp414,105,5,17,Share
https://www.tiktok.com/@g.abriellav/video/7226825227869621547,4/27/23,g.abriellav,g.abriellav,thank you!@kiaboys.official#fyp#foryou#foryoupage,"['#fyp', '#foryou', '#foryoupage']",San Antonio,original sound - g.abriellav,4553,28,74,22
https://www.tiktok.com/@caitlinjohnson/video/7228728168423738666,5/2/23,caitlinjohnson,CaiteJean,My city has been voted the most dangerous city to live in. so here’s what happened today in Rochester NY#rochesternyi hope everyone is safe and ok and that others find peace i mean no harm to anyone involved in anything i mentioned. Im truly just over the “kia boys” bs,['#rochesternyi'],Rochester,original sound - CaiteJean,16.2K,802,1379,650
https://www.tiktok.com/@postmanayego/video/7228968907065789738,5/3/23,postmanayego,Deiago Rankin373,Wow cant live in peace!#woow#wild#smh#crazy,"['#woow', '#wild', '#smh', '#crazy']",,original sound - Deiago Rankin373,1714,82,138,75
https://www.tiktok.com/@pdsbiz/video/7229856618647784747,5/6/23,pdsbiz,PDS Business,"If you’re in the market for a Kia or Hyundai, you may be out of luck getting insurance.#BusinessSo insurance companies are taking matters into their own hands. All-State, Progressive, and State Farm have all reportedly confirmed that they are not granting new policies for certain Kia and Hyundai models due to their high theft risk.  And most states don’t allow you to drive without auto insurance. However, this hasn’t stopped used car dealerships from selling these models.  Leading to situations like one woman buying a Kia from a dealership who didn’t know until several weeks later that her All-State policy wouldn’t cover it.  And when she tried to sell the car back to the dealership, their offer would have put her at a $7,000 loss. And Hyundai announced that they are working with AAA-affiliated insurance companies to offer plans to drivers impacted by the vulnerability. Even state governments have taken notice of the insurance stall on Kia and Hyundai. With the Maryland Insurance Administration recently telling insurance companies that they have to offer coverage in line with their rates filed with the state or else companies could be in violation of the law.#Kia#Hyundai#StateFarm","['#BusinessSo', '#Kia', '#Hyundai', '#StateFarm']",,original sound - PDS Business,108.3K,1667,5855,4392
https://www.tiktok.com/@b58_si/video/7231643633634594091,5/10/23,b58_si,Jesiahs,🔎 where yall at?#bmw#m340#g20#xdrive#fyp#yessir#b58#slow#kia#stinger#tlx#acura#cartok#funny#triggered#trend#trending#explore#soflo#sunset,"['#bmw', '#m340', '#g20', '#xdrive', '#fyp', '#yessir', '#b58', '#slow', '#kia', '#stinger', '#tlx', '#acura', '#cartok', '#funny', '#triggered', '#trend', '#trending', '#explore', '#soflo', '#sunset']",,SHAKE SUMN - Dababy,82.5K,918,5807,407
https://www.tiktok.com/@georgekobby1/video/7234353631380671787,5/17/23,georgekobby1,Ofc sparky 👮🏽‍♂️,#humanizethebadge#copsoftiktok#system#fails#juve#kia#boys#abcxyz,"['#humanizethebadge', '#copsoftiktok', '#system', '#fails', '#juve', '#kia', '#boys', '#abcxyz']",,thought I was feeling u anisafarah - BADMAN LISA🇵🇸,35.7K,539,2246,745
https://www.tiktok.com/@kia_boyzz/video/7234377046451981614,5/17/23,kia_boyzz,Kia_boyzz,And again 😂,[],Humble,IS YA READY BOOSTED - ʳᵉᵃᵖᵉʳgravez (training arc),556,1,90,3
https://www.tiktok.com/@flashbangs/video/7234900204141579566,5/19/23,flashbangs,flashbangs,Moth#carsoftiktok#carmemes#carslander#flashbangs#cartok#kia#stolenkia#cars#car,"['#carsoftiktok', '#carmemes', '#carslander', '#flashbangs', '#cartok', '#kia', '#stolenkia', '#cars', '#car']",,original sound - 68grp,9782,171,706,118
https://www.tiktok.com/@crimenewsinthed/video/7236111066638355754,5/22/23,crimenewsinthed,CrimeInTheD,#Detroitwoman thinks#KiaChallenge to blame for her#Hyundaitheft#CrimeInTheD™,"['#Detroitwoman', '#KiaChallenge', '#Hyundaitheft', '#CrimeInTheD']",,original sound - CrimeInTheD,206,2,19,18
