date,weeknum,optima_thefts,kia_boys_usa
11/8/21,1139,31,3
11/15/21,1140,28,0
11/22/21,1141,24,0
11/29/21,1142,20,3
12/6/21,1143,18,0
12/13/21,1144,16,0
12/20/21,1145,31,0
1/1/22,1146,23,0
1/3/22,1147,22,0
1/10/22,1148,26,0
1/17/22,1149,17,0
1/24/22,1150,27,0
1/31/22,1151,23,2
2/7/22,1152,23,0
2/14/22,1153,16,0
2/21/22,1154,24,3
2/28/22,1155,16,0
3/7/22,1156,17,2
3/14/22,1157,17,0
3/21/22,1158,16,0
3/28/22,1159,22,2
4/4/22,1160,22,2
4/11/22,1161,24,3
4/18/22,1162,31,2
4/25/22,1163,31,2
5/2/22,1164,24,2
5/9/22,1165,29,2
5/16/22,1166,30,3
5/23/22,1167,25,3
5/30/22,1168,27,34
6/6/22,1169,22,19
6/13/22,1170,31,22
6/20/22,1171,28,33
6/27/22,1172,26,32
7/4/22,1173,23,27
7/11/22,1174,22,39
7/18/22,1175,25,48
7/25/22,1176,40,72
8/1/22,1177,31,68
8/8/22,1178,26,54
8/15/22,1179,14,46
8/22/22,1180,20,24
8/29/22,1181,26,19
9/5/22,1182,31,22
9/12/22,1183,34,30
9/19/22,1184,23,14
9/26/22,1185,20,18
10/3/22,1186,29,20
10/10/22,1187,29,22
10/17/22,1188,25,29
10/24/22,1189,20,30
10/31/22,1190,19,15
11/7/22,1191,20,15
11/14/22,1192,19,11
11/21/22,1193,15,9
11/28/22,1194,19,15
12/5/22,1195,21,12
12/12/22,1196,25,42
12/19/22,1197,10,18
1/1/23,1198,2,15
1/2/23,1199,19,13
1/9/23,1200,15,13
1/16/23,1201,20,19
1/23/23,1202,33,24
1/30/23,1203,20,25
2/6/23,1204,27,25
2/13/23,1205,34,25
2/20/23,1206,18,32
2/27/23,1207,31,28
3/6/23,1208,30,26
3/13/23,1209,19,22
3/20/23,1210,23,22
3/27/23,1211,38,17
4/3/23,1212,28,19
4/10/23,1213,32,18
4/17/23,1214,21,24
4/24/23,1215,36,18
5/1/23,1216,28,100
5/8/23,1217,28,31
5/15/23,1218,30,29
5/22/23,1219,32,49
5/29/23,1220,27,42
6/5/23,1221,21,32
6/12/23,1222,26,38
6/19/23,1223,30,33
6/26/23,1224,30,37
7/3/23,1225,27,31
7/10/23,1226,32,33
7/17/23,1227,53,33
7/24/23,1228,22,35
7/31/23,1229,24,32
8/7/23,1230,29,30
8/14/23,1231,38,27
8/21/23,1232,39,32
8/28/23,1233,19,5
9/4/23,1234,28,24
9/11/23,1235,37,23
9/18/23,1236,27,23
9/25/23,1237,32,17
10/2/23,1238,26,20
10/9/23,1239,32,24
10/16/23,1240,30,20
10/23/23,1241,21,21
10/30/23,1242,20,19
11/6/23,1243,23,26
11/13/23,1244,32,26
11/20/23,1245,28,26
11/27/23,1246,23,35
12/4/23,1247,32,29
12/11/23,1248,21,26
12/18/23,1249,23,26
