"","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1976",6.1214027132048e-05,1.60182351213812e-05,3.15604221992132e-06,4.47177471908271e-07,4.32811531768531e-08,2.70235791008509e-09,1.02153447808929e-10,2.17962821722286e-12,2.42997720553098e-14,1.30047097531451e-16,3.04492071019943e-19,2.81852978978178e-22,9.23658480992903e-26,9.5052460438473e-30,2.69722442498354e-34,1.83353843526003e-39,2.56527105840132e-45,6.27162560887077e-52,2.2469240220894e-59,9.76508989461515e-68,4.20389599612276e-77,1.44323555929657e-87,3.13389304240105e-99,3.36113681616949e-112
"1977",0.000599252118200406,0.000199927871709469,5.23163040629782e-05,1.03077812981161e-05,1.46050250937069e-06,1.41358267789075e-07,8.82602715216076e-09,3.33637931779381e-10,7.11876756037065e-12,7.93641904912324e-14,4.24739894589367e-16,9.94485325726176e-19,9.2054499372382e-22,3.01671173982659e-25,3.10445775364831e-29,8.80926095005172e-34,5.98842216781929e-39,8.37829509170727e-45,2.04834221645856e-51,7.33855880221983e-59,3.18932396895015e-67,1.37301206728279e-76,4.7136747452207e-87,1.02354410498232e-98
"1978",0.00291886489975505,0.00119754929982905,0.000399537148906528,0.000104549239622898,2.05991366595751e-05,2.91867763896752e-06,2.8249127449766e-07,1.76379896129255e-08,6.66744195746326e-10,1.4226191028192e-11,1.58601910394066e-13,8.48802946082966e-16,1.98738589208519e-18,1.83962305549403e-21,6.02861620692219e-25,6.20396840714562e-29,1.76044839264428e-33,1.19673015018938e-38,1.67432389742172e-44,4.09342030278798e-51,1.46654232641588e-58,6.37356559942433e-67,2.7438361749461e-76,9.41983802696073e-87
"1979",0.0097609526719424,0.00477037545573032,0.00195718540704333,0.000652973766944857,0.000170867492583914,3.36656951605805e-05,4.77006941064249e-06,4.61682704956542e-07,2.88262169122617e-08,1.08967706826919e-09,2.32502273452647e-11,2.59207152972132e-13,1.38722033386526e-15,3.24803552280323e-18,3.0065429449855e-21,9.8527214424803e-25,1.01393040219359e-28,2.87714577130821e-33,1.9558466498655e-38,2.73639030907994e-44,6.68998134995789e-51,2.39680758068354e-58,1.04164810449201e-66,4.48432154040645e-76
"1980",0.0252423898302265,0.0142879675800801,0.00698281941804779,0.00286490495179055,0.000955815310893659,0.000250113823576477,4.92794481421776e-05,6.98237143285208e-06,6.75805706922878e-07,4.21954768700659e-08,1.59505646092727e-09,3.40334090025383e-11,3.7942437819993e-13,2.03059678935524e-15,4.75443615070067e-18,4.40094215901194e-21,1.44222976257609e-24,1.48417938308851e-28,4.21153209991294e-33,2.86294529479832e-38,4.00549591178372e-44,9.79271592150009e-51,3.50841871274865e-58,1.52475222932026e-66
"1981",0.053885614529969,0.0344616481254122,0.0195063508044872,0.00953314909271802,0.0039112519466415,0.00130490698933173,0.000341462699742983,6.72777424448398e-05,9.53253749023967e-06,9.22629696703034e-07,5.76064978855107e-08,2.1776176846306e-09,4.64634043544198e-11,5.18001247095548e-13,2.77223006656673e-15,6.49089514749466e-18,6.0082948216952e-21,1.96897421076901e-24,2.02624505837166e-28,5.74970667485233e-33,3.90857656565868e-38,5.46842005087714e-44,1.33693018984577e-50,4.78979573521113e-58
"1982",0.0991615644872367,0.0701112199913743,0.0448384641070084,0.0253799472161854,0.0124036947352321,0.00508897686450548,0.00169783014994543,0.00044428121808306,8.75358784012719e-05,1.24028989719049e-05,1.20044457505714e-06,7.49525059965202e-08,2.83332451297054e-09,6.04540932242529e-11,6.73977641485814e-13,3.60698182175624e-15,8.44538160317058e-18,7.81746452539063e-21,2.5618559842496e-24,2.63637177163343e-28,7.48101238304049e-33,5.08549589418932e-38,7.11502697958578e-44,1.73949592059038e-50
"1983",0.162386804891015,0.124556745931982,0.0880666361064816,0.056321551708432,0.0318797273270169,0.0155802690462091,0.00639225895278738,0.00213264282099573,0.000558061211410654,0.00010995373280303,1.55792694886579e-05,1.50787727799578e-06,9.41477708086739e-08,3.55893620002689e-09,7.59363284476094e-11,8.46582668279603e-13,4.53072640268392e-15,1.06082357220185e-17,9.81950968357997e-21,3.21794484177966e-24,3.3115440507583e-28,9.39689247065397e-33,6.38788650931586e-38,8.937178556814e-44
"1984",0.242518369207643,0.198561933126675,0.152304420749095,0.107685359786483,0.0688683799858359,0.038981617317073,0.0190511066618082,0.00781627112845536,0.00260773454770442,0.000682381262535971,0.000134448274627463,1.9049884431469e-05,1.84378913937974e-06,1.15121197094086e-07,4.3517652325638e-09,9.28527670780822e-11,1.03517703472246e-12,5.54004245350332e-15,1.2971446746804e-17,1.20070151416325e-20,3.93481076807697e-24,4.04926119947993e-28,1.149025092038e-32,7.81092462983575e-38
"1985",0.336768870299004,0.290320452939699,0.237699892796829,0.182324697964373,0.128910904894873,0.0824428241705374,0.0466651694582563,0.0228062143627691,0.00935691338238282,0.00312173744821714,0.000816883429755322,0.000160948979305507,2.28047512221961e-05,2.20721300336516e-06,1.37812398262911e-07,5.20952890097753e-09,1.1115470338551e-10,1.23921774080579e-12,6.63202395621072e-15,1.55282105315123e-17,1.43736826441711e-20,4.71038976615429e-24,4.84739918607004e-28,1.37550605444628e-32
