seq,date_num,date_val,weeknum,theft,kia_boys,kia_boys_la
165,43885,2/24/20,1050,37,0,0
166,43892,3/2/20,1051,27,0,0
167,43899,3/9/20,1052,32,0,0
168,43906,3/16/20,1053,35,0,0
169,43913,3/23/20,1054,22,0,0
170,43920,3/30/20,1055,10,0,0
171,43927,4/6/20,1056,21,0,0
172,43934,4/13/20,1057,20,0,0
173,43941,4/20/20,1058,25,0,0
174,43948,4/27/20,1059,24,0,0
175,43955,5/4/20,1060,36,0,0
176,43962,5/11/20,1061,23,0,0
177,43969,5/18/20,1062,21,0,0
178,43976,5/25/20,1063,28,0,0
179,43983,6/1/20,1064,22,0,0
180,43990,6/8/20,1065,22,0,0
181,43997,6/15/20,1066,27,0,0
182,44004,6/22/20,1067,33,0,0
183,44011,6/29/20,1068,28,0,0
184,44018,7/6/20,1069,35,0,0
185,44025,7/13/20,1070,34,0,0
186,44032,7/20/20,1071,40,0,0
187,44039,7/27/20,1072,48,0,0
188,44046,8/3/20,1073,33,0,0
189,44053,8/10/20,1074,44,0,0
190,44060,8/17/20,1075,56,0,0
191,44067,8/24/20,1076,39,0,0
192,44074,8/31/20,1077,43,0,0
193,44081,9/7/20,1078,57,0,0
194,44088,9/14/20,1079,31,0,0
195,44095,9/21/20,1080,35,0,0
196,44102,9/28/20,1081,31,0,0
197,44109,10/5/20,1082,50,0,0
198,44116,10/12/20,1083,43,0,0
199,44123,10/19/20,1084,43,0,0
200,44130,10/26/20,1085,33,0,0
201,44137,11/2/20,1086,39,0,0
202,44144,11/9/20,1087,30,0,0
203,44151,11/16/20,1088,26,0,0
204,44158,11/23/20,1089,43,0,0
205,44165,11/30/20,1090,27,0,0
206,44172,12/7/20,1091,25,0,0
207,44179,12/14/20,1092,27,0,0
208,44186,12/21/20,1093,27,0,0
209,44193,12/28/20,1094,31,0,0
210,44200,1/4/21,1095,41,0,0
211,44207,1/11/21,1096,40,0,0
212,44214,1/18/21,1097,44,0,0
213,44221,1/25/21,1098,40,0,0
214,44228,2/1/21,1099,40,0,0
215,44235,2/8/21,1100,47,0,0
216,44242,2/15/21,1101,54,0,0
217,44249,2/22/21,1102,24,0,0
218,44256,3/1/21,1103,47,0,0
219,44263,3/8/21,1104,46,0,0
220,44270,3/15/21,1105,59,0,0
221,44277,3/22/21,1106,47,0,0
222,44284,3/29/21,1107,55,0,0
223,44291,4/5/21,1108,62,0,0
224,44298,4/12/21,1109,65,0,0
