"","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049"
"1976",1.47855434493701e-05,3.71839492805216e-06,7.00481761011839e-07,9.46178533615168e-08,8.7092361515521e-09,5.15088452793e-10,1.83583816567582e-11,3.67316409732799e-13,3.81411781792904e-15,1.88428543516807e-17,4.02531121549579e-20,3.34719430965987e-23,9.66107916917958e-27,8.53708470640882e-31,2.00685259013819e-35,1.07000083197249e-40,1.08767492876216e-46,1.65570916074188e-53,2.33680098297298e-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1977",0.000149544498518976,4.8290275487411e-05,1.2144451508428e-05,2.28780614855313e-06,3.09026328352493e-07,2.84447720493687e-08,1.68230294482804e-09,5.99593319476973e-11,1.19967255027067e-12,1.24570869376521e-14,6.15416423973639e-17,1.31468544382207e-19,1.09320929512575e-22,3.15535358022465e-26,2.78825173889302e-30,6.55447429255813e-35,3.49467269327267e-40,3.55239711888388e-46,5.4076234514506e-53,7.63210115430862e-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1978",0.000751818037121204,0.0002988506908119,9.65035981385741e-05,2.42695502594154e-05,4.57196656988398e-06,6.17560208645786e-07,5.68442160101412e-08,3.36192506040576e-09,1.19823115866183e-10,2.39743336563446e-12,2.48943229185316e-14,1.22985215279032e-16,2.62727587425574e-19,2.18467650957326e-22,6.30567895539324e-26,5.57206026686385e-30,1.30985037205584e-34,6.98377646044598e-40,7.09913332506809e-46,1.08066295993603e-52,1.52520401947251e-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1979",0.00259501190600417,0.00122871542007967,0.000488419316871016,0.000157718295214195,3.96643458519937e-05,7.47208173671361e-06,1.00929442195382e-06,9.29019540704906e-08,5.49447999237998e-09,1.95829978634893e-10,3.91818658175353e-12,4.06854277659627e-14,2.00997878467771e-16,4.29382406394821e-19,3.57047261791853e-22,1.03055321687028e-25,9.10656040885216e-30,2.14072191763956e-34,1.14137642403438e-39,1.16022949104989e-45,1.76615507638888e-52,2.49267988391088e-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1980",0.00686816108918206,0.00379854787017743,0.00179857916304694,0.00071494244460354,0.000230866183306418,5.80602023865356e-05,1.0937545257929e-05,1.477393289805e-06,1.35988786391802e-07,8.0427551120276e-09,2.86653616709561e-10,5.73539537935891e-12,5.95548500683476e-14,2.94218327629787e-16,6.28524910243741e-19,5.22641577363903e-22,1.50851166346858e-25,1.33300758912325e-29,3.13356353474813e-34,1.67073336910523e-39,1.6983302665963e-45,2.58527700327602e-52,3.6487554612586e-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1981",0.0147620383067282,0.00937661419207692,0.00518588853789261,0.00245547282406682,0.000976060314477289,0.000315185258871001,7.92654846942854e-05,1.49322563580399e-05,2.01698048554573e-06,1.85655864486507e-07,1.09802042712161e-08,3.91347892943663e-10,7.83012934801062e-12,8.13060213799361e-14,4.01675457316792e-16,8.58080571631903e-19,7.13525551897541e-22,2.05946419848425e-25,1.81986090833053e-29,4.27803249373016e-34,2.28093401079418e-39,2.31861010157191e-45,3.52949570119283e-52,4.98138756461957e-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1982",0.0268557151905324,0.0192070652672709,0.0122000252967204,0.00674742183609547,0.00319484517069474,0.00126996379330716,0.000410091324289399,0.000103133273761463,1.94285380173938e-05,2.62431752470333e-06,2.41559074184132e-07,1.42864756006691e-08,5.09187441855637e-10,1.01878752997049e-11,1.05788240540928e-13,5.22624759849605e-16,1.11645893347935e-18,9.28376661840475e-22,2.67959359364796e-25,2.36784287625972e-29,5.56619943772469e-34,2.96775062531129e-39,3.01677143934437e-45,4.5922692303586e-52,6.48134316462327e-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1983",0.0429514145334643,0.03373343806248,0.0241259762385292,0.0153244400600693,0.00847543008907067,0.00401304195104206,0.00159520030128343,0.000515115318647468,0.000129545606137481,2.4404167947288e-05,3.29640272276453e-06,3.03422121124261e-07,1.79452282833338e-08,6.39589856764831e-10,1.27969803809961e-11,1.32880507359721e-13,6.56468458993795e-16,1.40238299425759e-18,1.16613303345904e-21,3.36583493988675e-25,2.97424516313572e-29,6.99169776875243e-34,3.72778871065468e-39,3.78936370808914e-45,5.7683449705017e-52,8.14120892533796e-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1984",0.0621462003961128,0.0525197592625441,0.0412482817011543,0.0295005526077423,0.0187382863062882,0.0103635131173085,0.00490703273613977,0.00195056523071363,0.000629868255135942,0.000158404656092524,2.98407174598559e-05,4.03074681736273e-06,3.71015877578628e-07,2.19429110679879e-08,7.82072154524327e-10,1.56477810148435e-11,1.62482477772179e-13,8.02710825808664e-16,1.71479375131895e-18,1.42591406710602e-21,4.11564654343535e-25,3.63682178229474e-29,8.54924774049643e-34,4.55823324544236e-39,4.63352538836653e-45,7.05336698417744e-52,9.95483705272831e-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985",0.0833067018454375,0.0743956554978853,0.0628717748152549,0.0493786094042645,0.035315319920027,0.0224317349053983,0.0124062347610768,0.00587424355194424,0.00233503541657232,0.00075401973764238,0.000189627332786343,3.57225336674331e-05,4.82523548845107e-06,4.4414572792308e-07,2.62680138452498e-08,9.36224100775758e-10,1.87320691895342e-11,1.94508921924983e-13,9.60930799962788e-16,2.05279171308807e-18,1.70697180245703e-21,4.92686955026828e-25,4.3536650462661e-29,1.02343648624386e-33,5.45669321769428e-39,5.54682597385606e-45,8.44363544207679e-52,1.19170057572608e-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
