filename,first_date
TikTok challenge possibly linked to teens' deadly car crash.DOCX,"October 25, 2022"
Car Thefts Are Spiking New Report Shows Full-Size Pickup Trucks Are At Highest Risk.DOCX,"July 28, 2023"
Four youths killed in crash_ investigation into whether they attempted a dangerous TikTok challenge.DOCX,"October 26, 2022"
Michigan Regulator Tells Auto Insurers Kia and Hyundai Theft Rates Can't Limit Coverage.DOCX,"March 8, 2023"
"Thieves stole their Kias multiple times, now their insurance companies are dropping them.DOCX","January 5, 2023"
Summerland senior's vehicle vandalized in apparent TikTok challenge(2).DOCX,"November 12, 2023"
KIA AND HYUNDAI MANUFACTURED VEHICLE THEFTS NR23234TI.DOCX,"August 9, 2023"
TikTok trend leads to uptick in car thefts.DOCX,"December 7, 2022"
"GM , Hyundai and Kia challenge price cuts on plug-in vehicles.DOCX","February 11, 2023"
"A Tesla co-founder returns, TuSimple restructures again and Uber's stickiness strategy.DOCX","May 21, 2023"
Reports of violent crime in Columbus dropped in '22.DOCX,"January 12, 2023"
Students respond to rise in city auto crimes.DOCX,"May 2, 2023"
"TikTok ' Kia Challenge' fuels St. Pete spike in Kia and Hyundai auto thefts Since July 11, 23 of the.DOCX","July 27, 2022"
Hyundai hit.DOCX,"October 18, 2022"
TikTok challenge could be behind surge in theft of Kia and Hyundai vehicles.DOCX,"April 8, 2023"
"CURBING CAR THIEVES Adams, NYPD in fast & furious push to stop surge fueled by joyriders.DOCX","September 7, 2023"
O desafio viral do TikTok que aumentou o roubo de carros nos EUA.DOCX,"September 1, 2022"
Hyundai And Kia Settle TikTok Car Theft Challenge For $200 Million.DOCX,"May 19, 2023"
Hyundai and Kia to compensate vehicle owners harmed by car theft challenge that went viral on TikTok.DOCX,"May 20, 2023"
"Hyundai, Kia Sued in Rash of Car Thefts.DOCX","September 21, 2022"
Insurers Leery of Hyundais and Kias Famous on Social Media for Being Easy to Steal(3).DOCX,"February 2, 2023"
El reto viral de TikTok que aumentó el robo de autos en Estados Unidos.DOCX,"September 1, 2022"
CAN MPLS. LOOK EAST TO SOLVE CAR THEFT CRISIS_.DOCX,"July 23, 2023"
Market Watchers Welcome Hyundai and Kia Software Updates Intended to Curb Social Media-Motivated The.DOCX,"February 17, 2023"
MT Magazine Cyberattacks sobre rodas_ Quão fácil é hackear um carro_.DOCX,"April 18, 2023"
"To steal today's computerized cars, thieves go high-tech.DOCX","August 14, 2023"
IT'S ENOUGH TO DRIVE U.S. CRAZY Philly feeling the impact of a TikTok trend sparking thefts of Kias.DOCX,"February 23, 2023"
Supreme Court Protects Access To Abortion Drug For Now; Abortion Pill Ruling Victory For Biden Admin.DOCX,"April 22, 2023"
Auto-Theft Inspired by Popular TikTok Challenge.DOCX,"April 28, 2023"
Noticias Hyundai y Kia compensarán con 200 millones de dólares a las víctimas de los _ Kia Boyz_.DOCX,"May 23, 2023"
Teens Are Stealing More Cars. They Learn How on Social Media.DOCX,"March 10, 2023"
"Kia , Hyundai owners have a new headache to face.DOCX","September 27, 2023"
2023 Kia Rio_ Affordable Little Cruiser Offers Good Fuel Economy & Safety Features.DOCX,"October 14, 2022"
"City on verge of banner year for vehicle thefts More than 21,000 have been recorded so far this year.DOCX","December 7, 2023"
The challenge consists of stealing cars using cell phone chargers and then fleeing at full speed.DOCX,"November 1, 2022"
Kia And Hyundai Slapped With Another Car Theft Loss Suit.DOCX,"June 2, 2023"
Does My Kia or Hyundai Have a Recall_ How To Find Out.DOCX,"July 18, 2023"
New TikTok challenge urges to steal cars and escape at high speed_ Four teenagers killed.DOCX,"October 26, 2022"
KIA AND HYUNDAI FACE NATIONAL CLASS ACTION IN ORANGE COUNTY FEDERAL COURT OVER TIKTOK CHALLENGE(2).DOCX,"October 11, 2022"
WUPD attempts to combat rising Kia thefts tied to Tik Tok trend(2).DOCX,"September 28, 2022"
"TikTok taking their rides 'Challenge' showing how to steal Kias, Hyundais spurs theft surge.DOCX","March 31, 2023"
City Of Cleveland Sues Hyundai And Kia Over Car Thefts.DOCX,"March 8, 2023"
San Francisco car thefts rise as overall crime declines.DOCX,"March 21, 2023"
Beware if you own a Kia or Hyundai _ thefts skyrocket due to a TikTok fad(2).DOCX,"September 10, 2022"
El nuevo reto de TikTok que anima a los jóvenes a robar autos y manejar peligroso.DOCX,"August 31, 2022"
